"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Tests the functionality of manually playing out files.
    Navigates to the admin playout page and selects 'fileplayout' and 'manual' options from dropdowns.
    Initiates playout for stories and verifies logs.
    Includes a negative scenario to verify that the playout button isn't clickable when 'manual' mode isn't selected.
    ","128767","test_Administrator_file_playout_manual[chromium]","tests.Automation_tests","Tue Jun 10 11:25:20 IST 2025","broken","Tue Jun 10 11:27:29 IST 2025","","test_admin_playout","",""
"","44337","test_remove_distribution[chromium]","tests.Automation_tests","Tue Jun 10 10:56:37 IST 2025","passed","Tue Jun 10 10:57:21 IST 2025","","test_FD","",""
"","133318","test_add_my_videos_to_playlist[chromium]","tests.Automation_tests","Tue Jun 10 11:10:49 IST 2025","passed","Tue Jun 10 11:13:02 IST 2025","","test_User_Interface","",""
"","92227","test_login_logout[chromium]","tests.Automation_tests","Tue Jun 10 11:20:46 IST 2025","broken","Tue Jun 10 11:22:18 IST 2025","","test_User_management","",""
"","13260","test_export_as_json[chromium]","tests.Automation_tests","Tue Jun 10 11:02:00 IST 2025","broken","Tue Jun 10 11:02:13 IST 2025","","test_FD","",""
"","45549","test_print_my_videos[chromium]","tests.Automation_tests","Tue Jun 10 11:13:03 IST 2025","broken","Tue Jun 10 11:13:49 IST 2025","","test_User_Interface","",""
"

    Tests the presence of playout and playlist buttons.
    Navigates through different content sources and modes to verify the visibility of buttons on the UI.

    ","45910","test_playout_playlist_button[chromium]","tests.Automation_tests","Tue Jun 10 11:35:08 IST 2025","broken","Tue Jun 10 11:35:54 IST 2025","","test_admin_playout","",""
"","16214","test_distribution_history[chromium]","tests.Automation_tests","Tue Jun 10 11:43:49 IST 2025","broken","Tue Jun 10 11:44:05 IST 2025","","test_history","",""
"
    Tests the automatic file playout functionality.
    Navigates to the admin playout page and selects 'fileplayout' and 'auto' options.
    Verifies the addition of stories and checks logs.
    Includes a negative scenario where it switches to 'manual' mode to ensure the automatic process is not active.
    ","59485","test_Administrator_file_playout_auto[chromium]","tests.Automation_tests","Tue Jun 10 11:29:10 IST 2025","passed","Tue Jun 10 11:30:09 IST 2025","","test_admin_playout","",""
"","115593","test_If_primary_and_standby_servers_are_provided_If_primary_working_files_should_arrive_to_it[chromium]","tests.Automation_tests","Tue Jun 10 10:51:38 IST 2025","passed","Tue Jun 10 10:53:34 IST 2025","","test_FD","",""
"","23324","test_search_distribution_history[chromium]","tests.Automation_tests","Tue Jun 10 11:06:06 IST 2025","broken","Tue Jun 10 11:06:29 IST 2025","","test_User_Interface","",""
"","10825","test_create_with_empty_name[chromium]","tests.Automation_tests","Tue Jun 10 10:35:54 IST 2025","broken","Tue Jun 10 10:36:05 IST 2025","","test_FD","",""
"","70969","test_Check_when_primary_server_is_back_after_a_failover_fall_back_to_primary_server_should_happen[chromium]","tests.Automation_tests","Tue Jun 10 10:54:13 IST 2025","passed","Tue Jun 10 10:55:24 IST 2025","","test_FD","",""
"","128406","test_Add_Dist_for_nonAdmin_user[chromium]","tests.Automation_tests","Tue Jun 10 10:42:47 IST 2025","passed","Tue Jun 10 10:44:56 IST 2025","","test_FD","",""
"","117606","test_add_multiple_users[chromium]","tests.Automation_tests","Tue Jun 10 11:18:47 IST 2025","broken","Tue Jun 10 11:20:44 IST 2025","","test_User_management","",""
"
    Tests fixed live playout functionality.
    Selects a channel for live playout and verifies that the correct content is being played.
    Includes validation through logs and database checks.
    ","50041","test_Administrator_live_playout_Fixed[chromium]","tests.Automation_tests","Tue Jun 10 11:31:04 IST 2025","passed","Tue Jun 10 11:31:54 IST 2025","","test_admin_playout","",""
"","78414","test_hide_or_show_loop_configuration[chromium]","tests.Automation_tests","Tue Jun 10 11:06:31 IST 2025","broken","Tue Jun 10 11:07:49 IST 2025","","test_User_Interface","",""
"","424050","test_FD_Create_dist_using_UI[chromium]","tests.Automation_tests","Tue Jun 10 10:27:29 IST 2025","passed","Tue Jun 10 10:34:33 IST 2025","","test_FD","",""
"","35469","test_distribute_with_Service_code[chromium]","tests.Automation_tests","Tue Jun 10 11:00:10 IST 2025","broken","Tue Jun 10 11:00:46 IST 2025","","test_FD","",""
"","74476","test_playout_export_as_cv[chromium]","tests.Automation_tests","Tue Jun 10 11:44:53 IST 2025","broken","Tue Jun 10 11:46:08 IST 2025","","test_history","",""
"","47864","test_when_there_is_no_video_playout_a_waiting_video[chromium]","tests.Automation_tests","Tue Jun 10 11:41:59 IST 2025","broken","Tue Jun 10 11:42:47 IST 2025","","test_admin_playout","",""
"

    Navigates to the playout page.
    Clicks on the printer icon to open the print dialog box.
    Logs the action of opening the print dialog.
    :param user_interface_page:
    ","22456","test_print_my_playout_page_UI_PLAYOUT[chromium]","tests.Automation_tests","Tue Jun 10 11:02:16 IST 2025","passed","Tue Jun 10 11:02:39 IST 2025","","test_User_Interface","",""
"","58970","test_start_stop_FD[chromium]","tests.Automation_tests","Tue Jun 10 10:58:26 IST 2025","passed","Tue Jun 10 10:59:25 IST 2025","","test_FD","",""
"
    Tests the lock and unlock functionality for a row with input area and dropdowns.
    Verifies that the input area and dropdowns are not interactable when locked and interactable when unlocked.
    ","75921","test_lock_unlock_configuration[chromium]","tests.Automation_tests","Tue Jun 10 11:40:42 IST 2025","passed","Tue Jun 10 11:41:57 IST 2025","","test_admin_playout","",""
"","23986","test_add_to_distribution_from_my_videos[chromium]","tests.Automation_tests","Tue Jun 10 11:10:23 IST 2025","broken","Tue Jun 10 11:10:47 IST 2025","","test_User_Interface","",""
"","100189","test_without_valid_host[chromium]","tests.Automation_tests","Tue Jun 10 10:40:06 IST 2025","passed","Tue Jun 10 10:41:46 IST 2025","","test_FD","",""
"","15134","test_distribution_history_print[chromium]","tests.Automation_tests","Tue Jun 10 11:46:55 IST 2025","broken","Tue Jun 10 11:47:10 IST 2025","","test_history","",""
"","62763","test_pause_resume_FD[chromium]","tests.Automation_tests","Tue Jun 10 10:57:23 IST 2025","passed","Tue Jun 10 10:58:25 IST 2025","","test_FD","",""
"
    Tests the automatic file playout functionality.
    Navigates to the admin playout page and selects 'fileplayout' and 'auto' options.
    Verifies the addition of stories and checks logs.
    Includes a negative scenario where it switches to 'manual' mode to ensure the automatic process is not active.
    ","59778","test_playout_history[chromium]","tests.Automation_tests","Tue Jun 10 11:42:48 IST 2025","failed","Tue Jun 10 11:43:48 IST 2025","","test_history","",""
"
    Tests manual live playout functionality.
    Selects live content and manual mode, then verifies that the correct story is being played.
    Validates the playout by checking logs and database entries.
    ","52349","test_Administrator_live_playout_manual[chromium]","tests.Automation_tests","Tue Jun 10 11:30:11 IST 2025","passed","Tue Jun 10 11:31:03 IST 2025","","test_admin_playout","",""
"","30094","test_add_to_distribution_with_no_active_distribution_possible[chromium]","tests.Automation_tests","Tue Jun 10 10:56:05 IST 2025","broken","Tue Jun 10 10:56:36 IST 2025","","test_FD","",""
"","114520","test_Check_when_primary_server_fails_failover_to_standby_server_happens[chromium]","tests.Automation_tests","Tue Jun 10 10:49:42 IST 2025","passed","Tue Jun 10 10:51:37 IST 2025","","test_FD","",""
"","41485","test_copy_link[chromium]","tests.Automation_tests","Tue Jun 10 11:03:36 IST 2025","broken","Tue Jun 10 11:04:17 IST 2025","","test_User_Interface","",""
"","40203","test_add_to_playlist_from_live_page[chromium]","tests.Automation_tests","Tue Jun 10 11:14:24 IST 2025","broken","Tue Jun 10 11:15:04 IST 2025","","test_User_Interface","",""
"","10163","test_Add_to_distribution_with_no_active_distribution[chromium]","tests.Automation_tests","Tue Jun 10 11:14:13 IST 2025","passed","Tue Jun 10 11:14:23 IST 2025","","test_User_Interface","",""
"","15015","test_verify_places_from_where_user_can_add_to_distribution[chromium]","tests.Automation_tests","Tue Jun 10 11:00:50 IST 2025","broken","Tue Jun 10 11:01:05 IST 2025","","test_FD","",""
"","38978","test_hover_element[chromium]","tests.Automation_tests","Tue Jun 10 10:55:25 IST 2025","passed","Tue Jun 10 10:56:04 IST 2025","","test_FD","",""
