"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9285","test_create_with_empty_name[chromium]","tests.Automation_tests","Thu Jun 05 20:07:26 IST 2025","broken","Thu Jun 05 20:07:36 IST 2025","","tests_FD","",""
"","33984","test_File_distribution_using_the_following_configuration_No_Password_Directory_Passive_mode[chromium]","tests.Automation_tests","Thu Jun 05 21:01:37 IST 2025","passed","Thu Jun 05 21:02:11 IST 2025","","tests_FD","",""
"","37867","test_hover_element[chromium]","tests.Automation_tests","Thu Jun 05 21:03:21 IST 2025","passed","Thu Jun 05 21:03:59 IST 2025","","tests_FD","",""
"","14869","test_distribute_legacy_files[chromium]","tests.Automation_tests","Thu Jun 05 21:07:23 IST 2025","broken","Thu Jun 05 21:07:38 IST 2025","","tests_FD","",""
"
    Tests the automatic file playout functionality.
    Navigates to the admin playout page and selects 'fileplayout' and 'auto' options.
    Verifies the addition of stories and checks logs.
    Includes a negative scenario where it switches to 'manual' mode to ensure the automatic process is not active.
    ","62064","test_playout_history[chromium]","tests.Automation_tests","Thu Jun 05 19:19:52 IST 2025","failed","Thu Jun 05 19:20:54 IST 2025","","test_history","",""
"","89514","test_without_target_directory[chromium]","tests.Automation_tests","Thu Jun 05 20:11:27 IST 2025","passed","Thu Jun 05 20:12:56 IST 2025","","tests_FD","",""
"","19487","test_export_all_process[chromium]","tests.Automation_tests","Thu Jun 05 21:07:01 IST 2025","broken","Thu Jun 05 21:07:20 IST 2025","","tests_FD","",""
"","11899","test_verify_places_from_where_user_can_add_to_distribution[chromium]","tests.Automation_tests","Thu Jun 05 21:08:15 IST 2025","broken","Thu Jun 05 21:08:26 IST 2025","","tests_FD","",""
"","73977","test_Create_with_existing_name[chromium]","tests.Automation_tests","Thu Jun 05 20:06:11 IST 2025","passed","Thu Jun 05 20:07:25 IST 2025","","tests_FD","",""
"","104166","test_If_primary_and_standby_servers_are_provided_If_primary_working_files_should_arrive_to_it[chromium]","tests.Automation_tests","Thu Jun 05 20:59:51 IST 2025","passed","Thu Jun 05 21:01:35 IST 2025","","tests_FD","",""
"","67747","test_Check_Active_connection_with_Passive_Server[chromium]","tests.Automation_tests","Thu Jun 05 20:18:47 IST 2025","passed","Thu Jun 05 20:19:55 IST 2025","","tests_FD","",""
"","43558","test_remove_distribution[chromium]","tests.Automation_tests","Thu Jun 05 21:04:19 IST 2025","passed","Thu Jun 05 21:05:03 IST 2025","","tests_FD","",""
"","67053","test_Check_when_primary_server_is_back_after_a_failover_fall_back_to_primary_server_should_happen[chromium]","tests.Automation_tests","Thu Jun 05 21:02:12 IST 2025","passed","Thu Jun 05 21:03:19 IST 2025","","tests_FD","",""
"","11199","test_export_as_json[chromium]","tests.Automation_tests","Thu Jun 05 21:09:06 IST 2025","broken","Thu Jun 05 21:09:17 IST 2025","","tests_FD","",""
"","17971","test_add_to_distribution_with_no_active_distribution_possible[chromium]","tests.Automation_tests","Thu Jun 05 21:04:00 IST 2025","broken","Thu Jun 05 21:04:18 IST 2025","","tests_FD","",""
"","35871","test_FD_Service_Start_Stop[chromium]","tests.Automation_tests","Thu Jun 05 21:08:29 IST 2025","passed","Thu Jun 05 21:09:05 IST 2025","","tests_FD","",""
"","152107","test_Multiple_distributions_configured_result_in_a_file_distributed_to_all_of_them[chromium]","tests.Automation_tests","Thu Jun 05 20:16:14 IST 2025","passed","Thu Jun 05 20:18:46 IST 2025","","tests_FD","",""
"","416641","test_FD_Create_dist_using_UI[chromium]","tests.Automation_tests","Thu Jun 05 19:59:13 IST 2025","passed","Thu Jun 05 20:06:10 IST 2025","","tests_FD","",""
"","136484","test_distribute_with_Service_code[chromium]","tests.Automation_tests","Fri Jun 06 11:16:53 IST 2025","passed","Fri Jun 06 11:19:10 IST 2025","","tests_FD","",""
"","2132366","test_Check_when_primary_server_fails_failover_to_standby_server_happens[chromium]","tests.Automation_tests","Thu Jun 05 20:19:56 IST 2025","passed","Thu Jun 05 20:55:29 IST 2025","","tests_FD","",""
"","128714","test_create_with_empty_name_and_different_characters[chromium]","tests.Automation_tests","Thu Jun 05 20:07:37 IST 2025","failed","Thu Jun 05 20:09:46 IST 2025","","tests_FD","",""
"","33590","test_change_filter_on_active_process[chromium]","tests.Automation_tests","Thu Jun 05 20:15:39 IST 2025","broken","Thu Jun 05 20:16:12 IST 2025","","tests_FD","",""
"","99803","test_Add_Dist_for_nonAdmin_user[chromium]","tests.Automation_tests","Thu Jun 05 20:12:58 IST 2025","passed","Thu Jun 05 20:14:38 IST 2025","","tests_FD","",""
"","0","test_If_only_primary_server_information_is_provided_Primary_server_should_be_used_for_distribution[chromium]","tests.Automation_tests","Thu Jun 05 21:01:35 IST 2025","broken","Thu Jun 05 21:01:35 IST 2025","","tests_FD","",""
"","98347","test_without_valid_host[chromium]","tests.Automation_tests","Thu Jun 05 20:09:47 IST 2025","passed","Thu Jun 05 20:11:26 IST 2025","","tests_FD","",""
"","59702","test_pause_resume_FD[chromium]","tests.Automation_tests","Thu Jun 05 21:05:04 IST 2025","passed","Thu Jun 05 21:06:04 IST 2025","","tests_FD","",""
"","58561","test_delete_process_with_active_transfer[chromium]","tests.Automation_tests","Thu Jun 05 20:14:39 IST 2025","broken","Thu Jun 05 20:15:37 IST 2025","","tests_FD","",""
"","54457","test_start_stop_FD[chromium]","tests.Automation_tests","Thu Jun 05 21:06:05 IST 2025","passed","Thu Jun 05 21:07:00 IST 2025","","tests_FD","",""
