"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","File Distribution","1","0","No Password - Directory - Passive Mode","0"
"2","","1","FD","17","0","","0"
"2","","0","AdminPlayout","12","0","","0"
"1","","0","UserInterface","15","0","","0"
"0","","0","","2","0","","0"
"1","","0","Distribution History","2","0","","0"
"0","","0","UserManagement","5","0","","0"
"0","","0","FD","1","0","Multiple distributions configured result in a file distributed to all of them","0"
"0","","0","History","2","0","","0"
"0","","0","FD","1","0","Check Active connection with Passive Server","0"
"0","","0","FD","1","0","Remove FTP Distribution Configuration","0"
"0","","0","FD","1","0","Start and Stop FTP Distribution","0"
"0","","0","FD","1","0","Pause and Resume FTP Distribution","0"
